filename,mean_nn,mean_bpm,sdnn,rmssd,pnn20,pnn50
o01.csv,1011,59.3,48.0,15.5,13.0,0.6
o02.csv,1062,56.5,33.7,26.5,12.8,0.6
o03.csv,1004,59.8,47.9,28.4,27.1,3.3
o04.csv,1163,51.6,116.3,119.0,40.4,12.7
o05.csv,1088,55.1,43.2,12.6,6.0,0.1
o06.csv,1168,51.4,23.9,25.1,24.7,0.8
o07.csv,1012,59.3,50.7,47.4,33.7,5.3
o08.csv,850,70.6,43.8,26.1,32.7,3.5
o09.csv,1470,40.8,94.4,102.6,68.5,36.2
o10.csv,880,68.2,57.3,21.1,27.8,2.0
y01.csv,830,72.3,93.0,92.0,75.3,47.0
y02.csv,1028,58.4,98.5,73.0,71.9,45.1
y03.csv,952,63.0,65.8,34.5,49.3,13.7
y04.csv,1313,45.7,122.6,107.6,85.2,67.0
y05.csv,1047,57.3,101.7,53.4,65.4,27.9
y06.csv,1019,58.9,101.6,56.0,63.4,29.2
y07.csv,1216,49.3,201.0,135.7,82.0,62.9
y08.csv,1000,60.0,93.2,52.0,63.6,29.4
y09.csv,900,66.7,87.7,40.9,54.4,18.7
y10.csv,832,72.1,88.9,66.1,66.3,33.6
